CustomerID,Age,Annual_Income,Income_Score,Membership_Years,Category,City,Rating,Days_Since_Last_Purchase,Purchase_Amount,Customer_LTV
1001,22.0,92454.9,90.86,14.0,Home,Karachi,4.4,229.0,2310.05,8199.76
1002,58.0,59444.62,58.45,7.0,Electronics,Islamabad,4.2,38.0,1382.72,4871.57
1003,52.0,72996.0,72.85,9.0,Beauty,Karachi,4.1,126.0,1555.23,6393.82
1004,,15000.0,12.97,9.0,Apparel,Karachi,3.4,106.0,523.39,2712.88
1005,40.0,39560.35,42.71,14.0,Electronics,Islamabad,3.0,174.0,2040.76,6106.0
1006,62.0,58536.86,59.52,11.0,Apparel,Karachi,4.2,200.0,1875.6,6327.47
1007,22.0,41413.07,45.0,1.0,Apparel,Karachi,4.1,286.0,644.14,958.96
1008,54.0,80716.72,80.4,1.0,Home,Lahore,3.2,172.0,1627.0,5219.92
1009,28.0,108940.52,107.84,6.0,Home,Lahore,4.7,60.0,2407.49,8410.78
1010,,,42.63,7.0,Apparel,Faisalabad,2.9,218.0,755.11,3534.16
1011,45.0,46575.81,45.42,10.0,Apparel,Karachi,3.2,21.0,1023.86,3895.48
1012,68.0,70179.86,69.82,7.0,Groceries,Karachi,5.0,339.0,2087.81,7168.81
1013,56.0,100444.56,101.88,7.0,Apparel,Karachi,4.5,308.0,2120.98,6980.8
1014,57.0,38107.77,35.63,13.0,Beauty,Lahore,3.4,90.0,844.28,3531.2
1015,55.0,70478.79,71.9,5.0,Apparel,Islamabad,4.0,105.0,1592.32,6029.13
1016,58.0,105068.57,106.24,7.0,Apparel,Lahore,3.8,11.0,2428.58,8826.56
1017,44.0,,31.2,8.0,Groceries,Islamabad,,145.0,104.14,2506.08
1018,24.0,36816.48,38.6,7.0,,Karachi,2.9,15.0,1000.03,3431.56
1019,61.0,,58.28,14.0,Beauty,Lahore,,374.0,2020.8,8652.3
1020,41.0,53547.05,53.33,14.0,Electronics,Lahore,3.4,53.0,1811.43,6769.18
1021,44.0,82877.23,81.15,7.0,Electronics,Islamabad,3.9,263.0,2829.46,9475.22
1022,37.0,70316.51,74.54,6.0,Groceries,Lahore,,228.0,2146.77,6561.36
1023,27.0,25950.83,22.9,8.0,Groceries,Lahore,3.4,94.0,1418.59,4826.8
1024,66.0,76339.03,73.49,2.0,Apparel,Islamabad,2.7,323.0,2726.81,5943.47
1025,58.0,52294.14,53.42,6.0,Electronics,Lahore,,43.0,1589.15,5154.29
1026,51.0,93037.84,96.29,3.0,Groceries,Lahore,3.4,354.0,2045.98,6568.2
1027,38.0,51193.07,51.57,2.0,,Lahore,3.6,296.0,13682.306937323025,4217.29
